Var1	Var2
Acetylcholine Metabolism	n_R178
Alanine Metabolism	n_R109
Alanine Metabolism	n_R110
Alanine Metabolism	n_R111
Arginine Metabolism	n_R445
Arginine Metabolism	n_R446
Arginine Metabolism	n_R447
Arginine Metabolism	n_R448
Arginine Metabolism	n_R449
Arginine Metabolism	n_R450
Arginine Metabolism	n_R451
Arginine Metabolism	n_R452
Arginine Metabolism	n_R453
Arginine Metabolism	n_R454
Arginine Metabolism	n_R455
Arginine Metabolism	n_R456
Arginine Metabolism	n_R457
Arginine Metabolism	n_R458
Arginine Metabolism	n_R459
Arginine Metabolism	n_R460
Asparagine Metabolism	n_R106
Aspartate Metabolism	n_R103
Aspartate Metabolism	n_R104
Aspartate Metabolism	n_R105
CDP-Diacylglycerol Biosynthesis	n_R384
CDP-Diacylglycerol Biosynthesis	n_R385
CDP-Diacylglycerol Biosynthesis	n_R386
CDP-Diacylglycerol Biosynthesis	n_R387
CDP-Diacylglycerol Biosynthesis	n_R390
CDP-Diacylglycerol Biosynthesis	n_R404
Cardiolipin Metabolism	n_R366
Cardiolipin Metabolism	n_R367
Cardiolipin Metabolism	n_R368
Cardiolipin Metabolism	n_R369
Cardiolipin Metabolism	n_R370
Cardiolipin Metabolism	n_R371
Cholesterol Synthesis	n_R202
Cholesterol Synthesis	n_R203
Cholesterol Synthesis	n_R204
Cholesterol Synthesis	n_R205
Cholesterol Synthesis	n_R206
Cholesterol Synthesis	n_R207
Cholesterol Synthesis	n_R208
Cholesterol Synthesis	n_R209
Cholesterol Synthesis	n_R210
Cholesterol Synthesis	n_R211
Cholesterol Synthesis	n_R212
Cholesterol Synthesis	n_R213
Cholesterol Synthesis	n_R214
Cholesterol Synthesis	n_R215
Cholesterol Synthesis	n_R216
Cholesterol Synthesis	n_R217
Cholesterol Synthesis	n_R218
Cholesterol Synthesis	n_R219
Cholesterol Synthesis	n_R220
Cholesterol Synthesis	n_R221
Cholesterol Synthesis	n_R222
Cholesterol Synthesis	n_R223
Cholesterol Synthesis	n_R224
Cholesterol Synthesis	n_R225
Cholesterol Synthesis	n_R226
Cholesterol Synthesis	n_R227
Cholesterol Synthesis	n_R228
Cholesterol Synthesis	n_R229
Cholesterol Synthesis	n_R230
Cholesterol Synthesis	n_R231
Cholesterol Synthesis	n_R232
Cholesterol Synthesis	n_R233
Cholesterol Synthesis	n_R234
Cholesterol Synthesis	n_R235
Cholesterol Synthesis	n_R236
Cholesterol Synthesis	n_R237
Cholesterol Synthesis	n_R238
Cholesterol Synthesis	n_R239
Cholesterol Synthesis	n_R240
Cholesterol Synthesis	n_R241
Cholesterol Synthesis	n_R242
Cholesterol Synthesis	n_R243
Cholesterol Synthesis	n_R244
Cholesterol Synthesis	n_R245
Cholesterol Synthesis	n_R246
Cholesterol Synthesis	n_R247
Cholesterol Synthesis	n_R248
Cholesterol Synthesis	n_R249
Cholesterol Synthesis	n_R250
Cholesterol Synthesis	n_R251
Cholesterol Synthesis	n_R252
Creatine Metabolism	n_R474
Creatine Metabolism	n_R475
Creatine Metabolism	n_R476
Creatine Metabolism	n_R477
Creatine Metabolism	n_R478
Creatine Metabolism	n_R479
